approach,sada_test_pearson,sada_test_spearman,sada_test_mae,sada_test_rmse,casablanca_pearson,casablanca_spearman,casablanca_mae,casablanca_rmse,mediaspeech_pearson,mediaspeech_spearman,mediaspeech_mae,mediaspeech_rmse
baseline1_pretrained_asr,0.5025863930342778,0.49175014327946914,0.2719974978613561,0.3955527468619247,0.40950627848959853,0.42667220612496715,0.2717962853870085,0.3926113170718101,0.6959040142898987,0.59193757266448,0.09824953450566594,0.1774591543342025
baseline2_finetuned_asr,0.8487227035783894,0.8533604793344253,0.09828620830943562,0.184070033918131,0.682085785826585,0.647116815796542,0.13170297428284355,0.21015288112641686,0.8738178024288356,0.7797985344234186,0.06626563443779629,0.11214067214422499
direct_aldi_model,0.8254357759564458,0.8176409921158233,0.129541787838201,0.19082273499726102,0.6796499530104907,0.6215903792555767,0.1428729911841481,0.19862400042658163,0.8628260434237089,0.7044153765230424,0.0765533275926814,0.11428021047833523
