dialect,direct_aldi_model_n,direct_aldi_model_pearson,direct_aldi_model_spearman,direct_aldi_model_mae,direct_aldi_model_rmse,baseline1_pretrained_asr_n,baseline1_pretrained_asr_pearson,baseline1_pretrained_asr_spearman,baseline1_pretrained_asr_mae,baseline1_pretrained_asr_rmse,baseline2_finetuned_asr_n,baseline2_finetuned_asr_pearson,baseline2_finetuned_asr_spearman,baseline2_finetuned_asr_mae,baseline2_finetuned_asr_rmse,winner_pearson,winner_rmse
Algeria,844,0.5832873975987015,0.5126166573038025,0.16176498957820815,0.21848363696275552,844,0.37004344891173746,0.38209294727738835,0.2814235638951777,0.39924133047130744,844,0.5971174648207889,0.5552671208164063,0.14957111492111366,0.23085166746007785,baseline2_finetuned_asr,direct_aldi_model
Egypt,846,0.6535397945580894,0.6270566636488428,0.15015360954876475,0.21634563314709865,846,0.47772613019354543,0.531338234857809,0.23166954921171548,0.3554589102456947,846,0.7191734334248985,0.7101307847218802,0.10936433361910931,0.19548816756521048,baseline2_finetuned_asr,baseline2_finetuned_asr
Jordan,848,0.7814662636377647,0.7149043508251685,0.11628569348345683,0.15969814836733534,847,0.5791022388593416,0.6044923638807954,0.16935153062061717,0.28240870406160834,847,0.8561062980840067,0.8207281896704476,0.07521779737047689,0.12642133373475126,baseline2_finetuned_asr,baseline2_finetuned_asr
Mauritania,953,0.552666961041275,0.48509051708702067,0.1817739740738954,0.2384712956311808,953,0.13701754301944855,0.10531383001977382,0.4297746523864399,0.5265582631804315,953,0.46720539923171467,0.4235312595741299,0.2120080801849141,0.2905781527088088,direct_aldi_model,direct_aldi_model
Morocco,1045,0.593232034278096,0.5201961927548158,0.1385492312164897,0.1919547392857938,1045,0.21613021042272607,0.22612351967757588,0.3703422427419172,0.4866461115378004,1045,0.5248199077133041,0.4434049068731627,0.1570889551446519,0.23805001385642993,direct_aldi_model,direct_aldi_model
Palestine,667,0.7537881707989691,0.7064039206773356,0.12430124522924753,0.18023976526204252,667,0.5808955355848108,0.6272717123349308,0.17933668726004487,0.2871484449260095,667,0.7921385316296783,0.7592126262142019,0.09982257071345614,0.16934199163309935,baseline2_finetuned_asr,baseline2_finetuned_asr
UAE,813,0.7856983546861948,0.7107039222891378,0.11280330694607044,0.16434398775315684,813,0.4894770835542931,0.4840774106840131,0.2207910230284188,0.335816052961289,813,0.8186573929736845,0.786445444283396,0.09501898007812196,0.1580206052646756,baseline2_finetuned_asr,baseline2_finetuned_asr
Yemen,803,0.7207425590997004,0.6551012461806793,0.1487527906597194,0.19705113304015148,803,0.5206158686250489,0.4875257397408894,0.22471835773123908,0.32262786587266035,803,0.7504454654636571,0.711279801104091,0.1313168281951112,0.1969631521554092,baseline2_finetuned_asr,baseline2_finetuned_asr
