dialect,n,mse_b2,mse_direct,rmse_b2,rmse_direct,mean_se_diff_direct_minus_b2,t_stat,p_value,significant_p_lt_0_05,better_model_by_rmse
ALL,6818,0.0441642334457339,0.03944478004614151,0.21015288112641686,0.19860709968714993,-0.004719453399592394,3.9237540027270854,8.80368873815012e-05,True,Direct
Algeria,844,0.05329249236909836,0.04773509941247188,0.23085166746007785,0.21848363648674443,-0.0055573929566264755,1.4377743771432494,0.15086917373460867,False,Direct
Egypt,846,0.03821562365800381,0.04680543248192122,0.19548816756521048,0.21634563199177656,0.008589808823917404,-2.463537540551197,0.013955600162259996,True,B2
Jordan,847,0.015982353623273358,0.025432988437798402,0.12642133373475126,0.15947723485751314,0.009450634814525048,-5.319863334940712,1.3304140174997502e-07,True,B2
Mauritania,953,0.08443566283166383,0.05686855870967421,0.2905781527088088,0.2384712953578988,-0.027567104121989615,6.452295172510559,1.7512509459019605e-10,True,Direct
Morocco,1045,0.05666780909704648,0.03684662278666985,0.23805001385642993,0.19195474150609004,-0.01982118631037662,5.570683728906403,3.227600873073735e-08,True,Direct
Palestine,667,0.028676710130264686,0.03248637370746119,0.16934199163309935,0.1802397672753191,0.0038096635771965037,-1.2545706337619185,0.2100747659712006,False,B2
UAE,813,0.024970511688214417,0.027008947475925825,0.1580206052646756,0.16434399129851332,0.002038435787711404,-0.871614423130248,0.3836763917527879,False,B2
Yemen,803,0.03879448330699487,0.03882914886768629,0.1969631521554092,0.19705113262218588,3.466556069141498e-05,-0.010981106998123043,0.9912412512771334,False,B2
