dataset,dialect,n,pearson,spearman,mae_text_vs_speech,mean_text_aldi,mean_predicted_aldi
casablanca,Algeria,844,0.5833257773682352,0.5126265616189039,0.16181112211393478,0.7785674867611124,0.7280544390553229
casablanca,Egypt,846,0.6536636018439522,0.6270661610669882,0.15018433162306236,0.7934833627643315,0.7203762776176522
casablanca,Jordan,848,0.7814863288694269,0.7149026582094847,0.11630615565191652,0.785682343582558,0.7268936984539734
casablanca,Mauritania,953,0.5528690472510069,0.48509097433708975,0.18184549836070518,0.672270767883508,0.6642550602594365
casablanca,Morocco,1045,0.5933860238649007,0.5201831478759843,0.1385904748147603,0.8174480521905517,0.761100388378903
casablanca,Palestine,667,0.7538673741338179,0.7063977995061156,0.12436623801494708,0.7756152059256296,0.7273738268201521
casablanca,UAE,813,0.7858412993339273,0.7106889248932099,0.1128797137271842,0.751862756131265,0.7520001924872801
casablanca,Yemen,803,0.7208084440079304,0.6551025728316808,0.14878001552846998,0.6685664353712147,0.6661055381334436
