dialect,n,mean_wer,median_wer,rmse_b2,rmse_direct,mae_b2,mae_direct,mean_true_aldi,mean_pred_b2,mean_pred_direct,b2_win_rate,direct_win_rate
Jordan,847,0.41380056918828934,0.4,0.12642133373475126,0.15947723389320584,0.07521779737047689,0.11607831569073486,0.7861168016059711,0.7625670238687199,0.7275700724233984,0.6706021251475797,0.3293978748524203
UAE,813,0.4339909414901489,0.4166666666666667,0.1580206052646756,0.16434398775315684,0.09501898007812196,0.11280330694607044,0.7518317452961233,0.7520022532902085,0.7520001924872801,0.5916359163591636,0.40836408364083643
Palestine,667,0.49328225343048576,0.5,0.16934199163309935,0.18023976526204252,0.09982257071345614,0.12430124522924753,0.7756173371575071,0.7511091025747259,0.7273738268201521,0.6176911544227887,0.3823088455772114
Yemen,803,0.6486981842854755,0.625,0.1969631521554092,0.19705113304015148,0.1313168281951112,0.1487527906597194,0.668583178908099,0.6717057918460232,0.6661055381334436,0.5628891656288917,0.43711083437110837
Egypt,846,0.6634671170551273,0.5454545454545454,0.19548816756521048,0.21634563314709865,0.10936433361910931,0.15015360954876475,0.7935115871922087,0.7657877117542365,0.7203762776176522,0.6264775413711584,0.3735224586288416
Morocco,1045,0.8315525262457958,0.8571428571428571,0.23805001385642993,0.1919547392857938,0.1570889551446519,0.1385492312164897,0.8174561778083443,0.7699085960178035,0.761100388378903,0.4861244019138756,0.5138755980861244
Algeria,844,0.8448746161275105,0.8181818181818182,0.23085166746007785,0.21848363696275552,0.14957111492111366,0.16176498957820815,0.778524893216962,0.7441256064460922,0.7280544390553229,0.5710900473933649,0.42890995260663506
Mauritania,953,0.9121347212960665,0.8571428571428571,0.2905781527088088,0.2384712956311808,0.2120080801849141,0.1817739740738954,0.672291001837465,0.6680739215406094,0.6642550602594365,0.44805876180482684,0.5519412381951732
