dialect,n,mae,mse,rmse,pearson,spearman,error_mean,error_std
Algeria,844,0.2814235638951777,0.15939363995649972,0.39924133047130744,0.37004344891173746,0.38209294727738835,-0.20327889250858436,0.3436150925337581
Egypt,846,0.23166954921171548,0.12635103687305685,0.3554589102456947,0.47772613019354543,0.531338234857809,-0.1666875662504757,0.31395269091146544
Jordan,847,0.16935153062061717,0.07975467612975709,0.28240870406160834,0.5791022388593416,0.6044923638807954,-0.1240978198455275,0.2536817045814382
Mauritania,953,0.4297746523864399,0.2772636045235926,0.5265582631804315,0.13701754301944855,0.10531383001977382,-0.34336432615091783,0.3992048898128864
Morocco,1045,0.3703422427419172,0.23682443787486127,0.4866461115378004,0.21613021042272607,0.22612351967757593,-0.312270740237038,0.3732444543012978
Palestine,667,0.17933668726004487,0.0824542294234255,0.2871484449260095,0.5808955355848108,0.6272717123349308,-0.10721728934035839,0.26638070930518104
UAE,813,0.2207910230284188,0.11277242142649929,0.335816052961289,0.4894770835542931,0.48407741068401317,-0.14470452010553664,0.3030396397957298
Yemen,803,0.22471835773123908,0.10408873983754732,0.32262786587266035,0.5206158686250489,0.48752573974088936,-0.12557453341297295,0.29718643373421577
