dataset,n,mae,mse,pearson,spearman,mean_prediction,mean_ground_truth,prediction_std,error_mean,error_std
casablanca,6819,0.14287299118414815,0.03945149354545871,0.6796499530104907,0.6215903792555767,0.7185986740140413,0.7559841588596693,0.2247302428038682,-0.03738548484562799,0.19507388105104187
mediaspeech,2505,0.07655332759268149,0.013059966506972605,0.8628260434237089,0.7044153765230424,0.13782939558770663,0.15475677760232992,0.19271772572005158,-0.016927382014623283,0.11301960115441752
sada_test,6193,0.12954178783820108,0.036413316191834987,0.8254357759564458,0.8176409921158233,0.6281492759776043,0.6249692729938919,0.301132307780398,0.0031800029837122388,0.19079623626491843
